Theme,Title,Poem
Love,Love-Struck For You,"My silent words shall speak,

As I see you with my shut eye.


Love-struck heart shall walk up to you,

As you walk more close, and lie.


Our innocent thirsty emotions,

Will buy every dream, 

Taste every joy.


Our bitter-sweet impatience,

To fly and kiss every high.

To touch our moments together,

Every sorrow shall fear, 

Shall fear to try."
Love,The Tale Of Love,"On my fading day, I may

Sneak in, to throw a tale

Of, what words cannot touch, 

And dreams can never say.


Passing time of mine, 

Shall sing the sweet tale out,

Beg and cry, fall and fall

To stay along, and survive proud. 


But only wish for the final day,

My eyes can meet your innocence,

Your warmth, and touch your silent play

Which alone can bring the eternal essence,

That even end could never slay."
Love,An Angelic Love,"Smother me in your wings,

Flap them to sorcerers land.

Only you could hear me where,

'Coz only you can understand.


Blessed by your soul,

Lonely times are no more sad.

Lost in the losing world,

Sorry times are no more hard. 


Take me to the glory road,

Slide a honey-sweet feeling in me.

Put me in your untouched heart 

And fall in love with me.

I love you!"
Love,Love At First Sight,"I fell deep in love, the first time I saw you,

Your love, my darling made me feel so beautiful and new,

It feels so wonderful to see your pleasant face,

Makes me feel like kidnapping and taking you to some other place,

Where there would be no one to disturb us,

It would be just you, me and never ending bliss.

You are the only one in the world, whose love comes for without a price

Thank you, my love, for giving me the taste of paradise.

I love you so much, more than you can ever know,

In your love sweetheart, my heart will always glow."
Love,Bunch Of Happiness,"Your smile shines brighter than even the morning sun, 

You, my dear, are more irresistible than chocolates with rum; 

Each time you put your beautiful arms around me, 

I realize my love for you is so vast and deep;  

It makes me forget the world outside, 

Coz' for them, I just seem to go blind. 

Nobody can ever make me feel like this, 

You, my love, are a bunch of happiness."
Love,The Magic Of Your Love,"You glow my world with your magical smile,

In your love, I could walk without a stop for miles;

For magical, is what I feel when I am with you,

You and me are super tight, like paper and glue;

Sweetheart, I just cannot wait to meet you again,

'Coz without you my dear, I'm going insane!

I miss you like crazy, each time you're away,

Can't stop myself from looking forward to meeting you again. 

I love you so so much my dear."
Love,You Are My Everything,"Baby you form my whole world, you are my night and my day,

No matter how my day goes you always manage to brighten up my way. 

You make me so happy and so joyful, just with your presence,

You make me fall in love with you everyday with your fragrance. 

I want to live with you like this forever and ever my love,

Cause you are just like this beautiful angel from heaven above. 

I've made a silent promise to myself to love you like this forever,

I will make it a point to see to it that we are always like this together."
Love,Always Stay By Me,"Your very presence, my dear, makes my life complete,

Without you everything around me is colorless and bleak.

So promise me that you will never ever leave my side,

In any kind of stormy weather or tide.

Always stay by me, holding my hand,

'Coz only you can take me into a magical land."
Love,True Love,"True love stays forever and ever, forever does true love stay, 

It always manages to lighten up our lives & brighten up our days.

Whenever your sad and gloomy just give the one you love, a call,

And you will see for yourself the way all your troubles will fall."
Love,You Complete My World,"I may have only one life to live, 

I may have only one gift to give,

I may have only one life to love,

I may have only one moment to share,

But no body can love you like me, girl,

You're the only one who completes my world. 

I LOVE YOU"
